#  kappa           omega           dperp           zero eigenvalue
   1.7349215e-01   2.6346890e-01  -1.6346643e-02   1.4297907e-09
   1.7204484e-01   2.6127099e-01  -1.6346644e-02   1.4772095e-09
   1.7060358e-01   2.5908227e-01  -1.6346645e-02   1.5306679e-09
   1.6916838e-01   2.5690273e-01  -1.6346646e-02   1.5830133e-09
   1.6773922e-01   2.5473239e-01  -1.6346646e-02   1.6324730e-09
   1.6631612e-01   2.5257123e-01  -1.6346646e-02   1.6849644e-09
   1.6489907e-01   2.5041927e-01  -1.6346647e-02   1.7390143e-09
   1.6348807e-01   2.4827649e-01  -1.6346647e-02   1.8037303e-09
   1.6208312e-01   2.4614291e-01  -1.6346647e-02   1.8678591e-09
   1.6068422e-01   2.4401851e-01  -1.6346646e-02   1.9294892e-09
   1.5929138e-01   2.4190331e-01  -1.6346646e-02   1.9983354e-09
   1.5790458e-01   2.3979729e-01  -1.6346646e-02   2.0649737e-09
   1.5652384e-01   2.3770046e-01  -1.6346646e-02   2.1401397e-09
   1.5514915e-01   2.3561283e-01  -1.6346645e-02   2.2143216e-09
   1.5378051e-01   2.3353438e-01  -1.6346645e-02   2.2922078e-09
   1.5241792e-01   2.3146513e-01  -1.6346645e-02   2.3740274e-09
   1.5106138e-01   2.2940506e-01  -1.6346644e-02   2.4578069e-09
   1.4971090e-01   2.2735419e-01  -1.6346644e-02   2.5432584e-09
   1.4836647e-01   2.2531251e-01  -1.6346643e-02   2.6303497e-09
   1.4702809e-01   2.2328002e-01  -1.6346643e-02   2.7229465e-09
   1.4569576e-01   2.2125672e-01  -1.6346642e-02   2.8252001e-09
   1.4436949e-01   2.1924261e-01  -1.6346641e-02   2.9264906e-09
   1.4304927e-01   2.1723769e-01  -1.6346641e-02   3.0325829e-09
   1.4173510e-01   2.1524196e-01  -1.6346640e-02   3.1485629e-09
   1.4042698e-01   2.1325543e-01  -1.6346639e-02   3.2592340e-09
   1.3912491e-01   2.1127808e-01  -1.6346639e-02   3.3824836e-09
   1.3782890e-01   2.0930993e-01  -1.6346638e-02   3.5066998e-09
   1.3653894e-01   2.0735097e-01  -1.6346637e-02   3.6399381e-09
   1.3525503e-01   2.0540120e-01  -1.6346636e-02   3.7731420e-09
   1.3397718e-01   2.0346062e-01  -1.6346636e-02   3.9169165e-09
   1.3270538e-01   2.0152924e-01  -1.6346635e-02   4.0611419e-09
   1.3143963e-01   1.9960704e-01  -1.6346634e-02   4.2184063e-09
   1.3017993e-01   1.9769404e-01  -1.6346633e-02   4.3799765e-09
   1.2892629e-01   1.9579023e-01  -1.6346632e-02   4.5454248e-09
   1.2767870e-01   1.9389562e-01  -1.6346631e-02   4.7233639e-09
   1.2643716e-01   1.9201019e-01  -1.6346630e-02   4.9085540e-09
   1.2520168e-01   1.9013396e-01  -1.6346629e-02   5.1010295e-09
   1.2397225e-01   1.8826692e-01  -1.6346627e-02   5.2973259e-09
   1.2274887e-01   1.8640907e-01  -1.6346626e-02   5.5045113e-09
   1.2153155e-01   1.8456042e-01  -1.6346625e-02   5.7189402e-09
   1.2032028e-01   1.8272096e-01  -1.6346624e-02   5.9458721e-09
   1.1911506e-01   1.8089069e-01  -1.6346622e-02   6.1834565e-09
   1.1791590e-01   1.7906962e-01  -1.6346621e-02   6.4314548e-09
   1.1672279e-01   1.7725774e-01  -1.6346619e-02   6.6904339e-09
   1.1553573e-01   1.7545505e-01  -1.6346618e-02   6.9628406e-09
   1.1435473e-01   1.7366155e-01  -1.6346616e-02   7.2448541e-09
   1.1317978e-01   1.7187725e-01  -1.6346614e-02   7.5441838e-09
   1.1201089e-01   1.7010214e-01  -1.6346659e-02  -9.8305484e-13
   1.1084805e-01   1.6833623e-01  -1.6346659e-02   3.3922271e-13
   1.0969126e-01   1.6657951e-01  -1.6346659e-02  -6.6540655e-13
   1.0854053e-01   1.6483198e-01  -1.6346659e-02  -5.0073224e-13
   1.0739585e-01   1.6309365e-01  -1.6346659e-02  -2.1279994e-12
   1.0625723e-01   1.6136451e-01  -1.6346659e-02  -1.3395362e-12
   1.0512466e-01   1.5964456e-01  -1.6346659e-02  -1.3795348e-12
   1.0399814e-01   1.5793381e-01  -1.6346659e-02  -1.0827285e-12
   1.0287768e-01   1.5623225e-01  -1.6346659e-02  -1.1237228e-12
   1.0176327e-01   1.5453989e-01  -1.6346659e-02  -1.5331489e-12
   1.0065492e-01   1.5285672e-01  -1.6346659e-02   1.8643498e-13
   9.9552619e-02   1.5118275e-01  -1.6346659e-02   1.0291053e-12
